pali	grammar_y	meaning_y	from_y	exists
aṃsabaddha	masculine	a shoulder strap		right_only
aṃsabandhaka	masculine	a shoulder strap		right_only
akaṅkhi	adjective	free from doubts, without uncertainty	kaṅkhi(n)	right_only
akaṭayūsa	masculine, neuter	untreated soup, bean water without added oil	['akaṭa', 'karoti']	right_only
akaṭṭhapāka	adjective	ripening in uncultivated ground; growing wild	kaṭṭha	right_only
akaṇa	adjective	without bran; with the bran removed	kaṇa	right_only
akaṇika	adjective	free from blemish	kaṇika	right_only
akataññu	negative adjective; a+kata+jānāti	ungrateful	kataññu	right_only
akataññu	negative adjective; a+kata+jānāti	knowing what is not made (nibbāna)	kataññu	right_only
akatamallaka	masculine or neuter	an unworked scraper	akata	right_only
akathaṃkathi	adjective	free from doubt	kathaṁkathi(n)	right_only
akaniṭṭhagāmi	adjective	going to the akaniṭṭha world		right_only
akantika	adjective	unpleasant	kantika	right_only
akantena	instrumental adverb	unpleasantly; in an undesired way	kantena	right_only
akantehi	instrumental adverb	unpleasantly; in an undesired way	kantehi	right_only
akappakata	adjective	(what is) not made allowable; not marked	kappakata	right_only
akampita	negative adjective	not trembling; not shaken	kampita	right_only
akammaniya	adjective id	not ready or fit for any act or use	kammaniya	right_only
akalaha	masculine	absence of quarreling; harmony	kalaha	right_only
akalla	adjective	unhealthy; unfit; low in spirits; not sound	['akalya', 'kalla']	right_only
akalyaka	adjective	ill; not fit		right_only
akallarūpa	adjective	in very poor spirits; unwell	kallarūpa	right_only
akalya	adjective	unhealthy; unfit; low in spirits; not sound	['akalla', 'kalya']	right_only
akavāṭa	adjective	without a door	kavāṭa	right_only
akavātaka	adjective	without a door		right_only
akasāva	adjective	without defect	kasāva	right_only
akāpurisasevita	adjective	practiced or cultivated by superior men; not practiced or cultivated by worthless men	kāpurisa	right_only
akāyabandhana	m(fn)n	not wearing a belt	kāyabandhana	right_only
akāraka	adjective (f. -ikā)	who is not an agent; who is not the perpetrator; innocent	kāraka	right_only
akāraka	adjective (f. -ikā)	who performs no service; of no use	kāraka	right_only
akālacārī	adjective	traveling or going for alms at the wrong time, an an unsuitable time	kālacāri(n)	right_only
akālacāri	adjective	traveling or going for alms at the wrong time, an an unsuitable time	kālacāri(n)	right_only
akālapuppha	neuter	a flower appearing out of season; an unseasonable flower	akāla	right_only
akālavādi	masculine	speaking at the wrong time, at an unsuitable time	kālavādi(n)	right_only
akāle	locative	not at the right time, at an unsuitable time (sometimes: at night); out of season	kāle	right_only
akāsika	adjective	not from Kāsi; inferior	kāsika	right_only
akiccakārī	adjective	doing what ought not to be done; acting wrongly	kiccakāri(n)	right_only
akiccakāri	adjective	doing what ought not to be done; acting wrongly	kiccakāri(n)	right_only
akiccha	neuter	lack of difficulty; ease	kiccha	right_only
akicchalābhi	adjective	obtaining easily	kiccha	right_only
